Tweets,"Is_Conspiracy (0=No, 1=Yes)"
#BreakingNews #Wuhan to require citizens to get daily temperature checks. Isn't it the law to avoid large gatherings? 6m people is imo undoable. Hope they have an app for it. Or maybe everyone has to line up along as street and a parade of masked temperature takers come on down. https://t.co/dPp4L4GLJv,0
How long before people start breaking quarantine/curfew for shits and giggles? https://t.co/iAlJWq4USh,0
Great!! https://t.co/zwDY7iSnhT,0
"A good lil thread on #coronavirus. I also recommend the new episode of @Sawbones, which lays out the same basic facts in terms of how infectious diseases work. Also? Get your flu shot. #GetYourFluShot https://t.co/QWsfwjk3sn",0
"Here again is my #coronavirus list of key sources of information on twitter

https://t.co/j5uPgQOMES",0
"Combating the growing #coronavirus outbreak requires effective screening &amp; research. Learn how #takarabio one-step PrimeScript™ RT-qPCR kit was used to develop the 1st detection protocol &amp; other products helped characterize the virus. 
https://t.co/Tvbpp691AM  
#2019nCoV",0
"@_clearlystocks @SCMPNews Very much so.
Protect yourself from the Corona Virus with these safety tips https://t.co/CwrivuW9Zr #Coronavirus #coronaviruschina #wuhan #CoronavirusOutbreak",0
"Blade Runner ""Emigrate to the off-world colonies""

https://t.co/7ml0jwEeh5 https://t.co/0P41znSdxp",0
Well needed... $CODX Announces Launch of Test for New #Coronavirus.,0
Very suspicious. I think he was arrested before he got sick. https://t.co/x7EmbYK9aK,0
Uncertainties are rising with the spread of the coronavirus disease. Here’s what investors should know #investors #coronavirus https://t.co/pqmTkzouzm,0
#coronavirus in Africa!? God save us!!! https://t.co/SpwWx9v0rs,
"A doctor who was reprimanded by local police for trying to warn medics about the #coronavirus outbreak in Wuhan has died after being infected by the virus, Chinese media has reported.

 https://t.co/3PbwuSqv5S",0
"Get your damn flu shot if you haven't already. If you're uninsured there are many places offering flu shots at low to no cost, but information is totally dependent on the area you're in. https://t.co/FLV0EAfDKv",0
Health workers are true heroes. #coronavirus  https://t.co/Wnnjwe5IC1,0
@caixin The wuhan police who reprimanded Dr. Li Wenliang for telling the truth about the outbreak of coronavirus in #wuhan should be severely punished. Had they acted immediately this should not happened this way - they spread of #coronavirus would have been contained early.. RIP my hero,0
I’ve heard here in Australia that even asian restaurants are experiencing reduced trade in part because people fear catching the coronavirus. https://t.co/2vo18qW6Du,0
"Everyone, CGTN is China state media.

End of story. https://t.co/znxCGocoiP",0
why do you delete this and why do you declare different TRUTHS on different side of the WALL https://t.co/0z4lhLAulp https://t.co/5ks3IrUpo6,1
The latest GeoCapital Economics! https://t.co/2uhRkPJTy5 Thanks to @The_IFM @dspalten #coronavirus #investing,0
"""The #coronavirus outbreak requires a swift and comprehensive response that respects #humanrights,"" https://t.co/xXakVz4Phv",0
Protect yourself from the Corona Virus with these safety tips https://t.co/CwrivuW9Zr #Coronavirus #coronaviruschina #wuhan #CoronavirusOutbreak,0
"#CoronaVirus So the last column is simply an effort to apply an upper limit to a worst-case scenario. We may have to fine-tune it as we go. If so, that will be done. In any event, wild estimates of ""millions of deaths"" are not realistic at this point. Massive disruption? Yes. https://t.co/Nfveq1XRrM",0
"They just want you dead. There’s nothing like CORONA VIRUS and it doesn’t even exist. We created it.
2020 it landed in China and now they seek permission to get rid of 2.000 souls. #coronavirus ❌",1
#Chinese man catches the killer #coronavirus 'within 15 SECONDS' of standing next to an infected woman #nCoV2019 #nCoV19 #china https://t.co/NfLjfF1XoV,0
"LIVE on #Periscope: #HeartGang Will Follow All Back #SpreadLuv Plz Share &amp; Follow #MittRomneyAmericanHero #coronavirus #WinterWatch #Follow #MissUniverse2019

https://t.co/C0cXBVjtyV",0
"@DrDenaGrayson @MtnMD @AndreaR9Md @DrLindaMD @physicianwomen 

A politically motivated ‘resuscitation’? https://t.co/LYJ5omIoL2",0
"#Jiangxi and #Liaoning suddenly announced the closure of the province. Now there are more than 400 million #Chinese who are blocked from home and cannot go out. This is not 1,000 SARS, but 10,000 SARS!

#WuhanCoronavirus
#Coronavirus
#nCoV2019 https://t.co/euJT4AvcPV",0
This is how the death rate of coronavirus calculated. Perfectly matched. #coronavirus #CoronaVirusCanada #ChinaCoronaVirus #CoronavirusFrance https://t.co/zWM5yrDDSM,0
#UK confirms third #CoronaVirus victim to contract illness outside of #China https://t.co/WDhzbrhwuv,0
Coronavirus updates: The latest news on the outbreak and the global response SEE DETAILS AT ==&gt; https://t.co/sdFcrODIOM #virus #coronavirus #sars #flu #china #trump,0
You know what the key incubators of zoonotic diseases like #coronavirus are?  Chickens and pigs. I'd stop eating them before blaming 'Chinese eating weird food' for the current outbreak.,0
Oh no. https://t.co/lYA5vvTOzU,0
"The scariest thing is when the media says ""the patient is stable"" they mean the patient is in the ICU hooked to a mechanical ventilator to keep them alive, how much more for those labeled as in ""serious"" and ""critical"" conditions // #coronavirus",0
"Jordan halts animal, plant products imports from China over #Coronavirus https://t.co/x5DZ5sx1xq",0
@Mohumpcamelhard @tiger_awe #coronavirus might be taking care of that,0
"#CoronaVirusOutbreak Feb. 06 Update: https://t.co/tgk6nMrAAd

I took a trip to the market for supplies and reflected on the current situation with the #CoronaVirus in #Shenzhen and #China. 

Shot on the @DJIglobal #OsmoAction and #OsmoPocket. https://t.co/q88QKxpPcG",0
#coronavirus Stop. Just stop. https://t.co/ykmEDgEbeC,0
"Most human-to-human transmissions of #2019nCoV, as observed in #Guangdong, #China, are from cluster infections. Thus, prevention strategies of containing transmissions of the #coronavirus in households, hospitals &amp; communities are urgently needed.

Source:
https://t.co/TSxslS8FGe",0
This will hit China very very hard. https://t.co/tJS2DB95Sy,0
"Too Late! Now it's been spreading for days! Hundreds of school children unnecessarily exposed to #CoronaVirus because government ""suggested advice"" wasn't followed!

We must demand MANDATORY 14 day medically excused self-quarantine regardless of symptoms.

https://t.co/ynJmm2qHdG",0
"Just some thoughts on the #Coronavirus If it was really nothing more than the flu.. Why China would put so many cities on lockdown? Why all these hazmat suits to handle sick people? Seriously... I am not a conspiracy theorist, but something doesn't add up here! Thoughts?",1
I 💯 agree with this statement! Think about that #coronavirus #coronaviruscanada #coronavirusoutbreak https://t.co/vbkgwjyGRz,0
This was an event scenario of a coronavirus outbreak 3months before the outbreak...  #coronavirus #CoronavirusOutbreak https://t.co/M0IYxhQst1,0
#breakingnews Sound assessment below. https://t.co/ExK4lu4f4u,0
I always wondered which tonic do @kunalkamra88 @TheDeshBhakt and many of his gang members takes!! https://t.co/i9SI2liSXT,0
Officially now Dr. Li Wenliang has passed away because of #coronavirus #ncov2019 #Wuhan,0
#corononavirus Fingers crossed positive results will follow 🖤 https://t.co/ZjWfCt3jHQ,0
"We have a 60L WIVA container a with Solid Lid, for use with two UN approved bulk clinical waste bags (meets the req for UN3549 Cat A Waste). Available via your normal supply route. Download the Brochure here:  https://t.co/KmArmYVgXR #clinicalwaste #UN3549 #coronavirus #2019nCov https://t.co/YZw4EQSsmE",0
Is that a Sewage Water Treatment Plant next to the #ChristmasIsland #Coronavirus Concentration Camp ?!. I wonder what it could mutate it into ... #breakfastnews,
Not sure why this vanished from my timeline... https://t.co/9nDfroDu6G,0
#HongKong rush for self quarantaine https://t.co/R71e3FVzCH,0
"There is no way the official, government approved numbers are the actual ones. #CoronaVirus https://t.co/AWXHoQxJvg",0
"@Concealcarrygrl #Coronavirus is the virus responsible for 63% (+\-) of worldwide common colds.  The issue here is the it’s ability to bypass our immune system akin to HIV.   If 2019-NCov encounters antigens to milder form of corona,an explosive auto-immune reaction leading up to death.",0
Egypt halts signing Chinese garlic deals because of #coronavirus - https://t.co/hmN9lshZz2,0
"First #China #coronavirus casualty: the truth ...
Chinese #media told that doctor silenced for warning about the #Wuhan virus in December *not* pronounced dead, still “under treatment” — actually, brain dead, on life support, say those on scene https://t.co/Z2XKhCiP42",1
"Except people in China are not having it. They're demanding the correct time and date of his death be announced and recorded, which is 9:30pm, Feb 6. #LiWenliang #RIP https://t.co/pplBKUoMda",0
"It is NOT Racist to say the Virus came from CHINA because it is a FACT it came from CHINA! Get over it people, they are not saying anything racist by stating a fact! https://t.co/BTL9tIzNPp",1
"https://t.co/q5C0D2wVd0 okay, so there is a possible correlation between smokers  🚬 and ACE 2 which would account for the high fatality rate of middle aged men in China. 48% of men smoke in China.  #coronavirus #nCoV #smokers",0
"Chinese Authorities Say Someone Caught Coronavirus After Being Exposed for Just 15 Seconds

https://t.co/2VQfGKREHn

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"@washingtonpost #coronavirus #respiratory illnesses are the most common medical complaint on #cruiseships, and #influenza is the most commonly reported vaccine-preventable illness on board@ https://t.co/Se14sk8KdG",0
"Kazakhstan stops sending mail to and from China

https://t.co/SaS663O9TV

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"Hong Kong checks quarantined ship as medics escalate strikes

https://t.co/gDmGYpDcLo

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"U.S. Shares Gain After China Tariff Relief 

https://t.co/uDT2zVZSh7

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"Newborn becomes youngest person diagnosed with coronavirus as infections near 30K

https://t.co/Aa8ZH2qkt3

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"Apple Warns Coronavirus Could Jeopardize Orders For 45 Million Airpods #breaking #apple #airpods #Coronavirus #Market #News #China 
https://t.co/2WFt2Cf1nL",0
"Wuhan Coverup &amp; Trade. An Update.
Market Commentary by @DavidKotokGIC 

In our opinion, China swill have to ask for relief from its obligations under the new trade agreement. They cannot meet them under the circumstances of the #coronavirus spread https://t.co/b7aT3Jy7Z5 #markets https://t.co/Vo1Oh4bSqy",0
"#coronavirus tracking website

https://t.co/QmcE8v9dQb",0
"@cnnbrk #drliwenliang, the whistle blower, is a hero who tried to save the world from #corona .he knew much more abt #coronavirus .he was caught by police &amp; punished  for that.
His story of sacrifice will be buried soon. A planned murder..
#VirusCorona",1
@PDChina The wuhan police who reprimanded Dr. Li Wenliang for telling the truth about the outbreak of coronavirus in #wuhan should be severely punished. Had they acted immediately this should not happened this way - they spread of #coronavirus would have been contained early.. RIP my hero,0
Lol bitter ass people https://t.co/xu5ZPNe9HR,0
What did I just watch https://t.co/znuR1yyGWb,0
But to be honest how much tech and funding is the Uganda gov't willing to give in to contain Ugandans infected by the #coronavirus? I think its better they stay there and observe the set precautions than spreading it this side. #EvacuateUgandansInWuhan,0
#MedTwitter #Biotech #China deploys thermal #drones to scan villagers for #coronavirus from the skies https://t.co/E6QIXu6SQz,0
Whoaaaaaaaaaaaaa! https://t.co/tf4RPXy2fI,0
"#FDA issued emergency authorization of a diagnostics test for the novel #coronavirus that has sickened more than 28,000 people and killed 565 since emerging in China six weeks ago.
https://t.co/FGGEwbCNjs",0
"It's fair to say that all global fashion &amp; beauty companies are wary of #coronavirus's impact on their full-year results, which affects not just the #china market but also #travelretail. https://t.co/t1O5C4xBkg",0
You have to wonder why the military is taking charge of these people! So now why or how many military members will catch this virus wouldn't it grow to the entire mil persons? Why are there bars on the windows? How many protesters are now in there? Something smells wrong here! https://t.co/1i9EfhTBSR,0
"#Hanghzou, capital of #Zhejiang, has been placed in lockdown by #CCP 

#WuhanCoronavirus 
#Coronavirus https://t.co/ZJGtB38uvH",0
"Guess it's time to nut up or shut up.

Invisible zombies are the worst zombies. https://t.co/ELWQPiD6Bh https://t.co/0h4CKD0ycZ",0
We must speak up for him and for ourselves. #李文亮 #我要言论自由 #LiWenliang #WeWantFreedomofSpeech  #FreeChina #coronavirus https://t.co/k2UggcUvQr https://t.co/S1LvGmgRc9,0
"#2019nCoV-#PRC #China- #LiWenliang #李文亮- China state media updates, despite efforts to save 35 yr old #Wuhan #doctor, he finally died from #nCoV2019 #Coronavirus at 2:58 on February 7. Li Wenliang was arrested for ""rumors"" warning on #CoronavirusOutbreak. #FreedomOfExpression. https://t.co/A87xeTxxiS",0
"Fight Back with Decon-7 Kill CoronaVirus!  #CoronaVirus
Order it, Kill it with Decon-7 Email: Jfrancois@phantom-ops.com https://t.co/J4juMLrF4I",0
"People on Weibo angry at the Chinese government, calling for transparency about the #coronavirus outbreak in Wuhan. 

CCP pissed because they can’t do Tiananmen Square 2 online. https://t.co/pYxJ9sKf7R",1
"Real-time update on coronavirus outbreak - Global Times https://t.co/t6oMPCYjgt ""Residents should avoid overreaction to the novel #coronavirus outbreak though ""moderate anxiety"" is fine.",0
"💰Help Wanted? - Jobs Numbers Key to Economy, Elections
🦅Twitter Shares Soar
🎢Stocks Surge 
🏚Coronavirus Leads to Mortgage, ⛽️ Gas Price Dip
🚦Trump Takes A Victory Lap, Iowa Count a Mess

#BreakingNews @realDonaldTrump #coronavirus #Stocks 
https://t.co/tuROiSdzNj",0
"Chuck @ArvindKejriwal
Chuck @RahulGandhi
Chuck @INCIndia
Chuck @cpimspeak
Chuck @ImranKhanPTI
Chuck election we know #अबकी_बार_45_पार

@PMOIndia Sir please dedicate all required personnel &amp; funds to discover the cure for #coronavirus it's the need of the hour. Docs we need you.",0
"#coronavirus quarantine: From 'Sexiest Legs' contest to quarantine in a windowless cruise ship cabin.
https://t.co/CU4M02vATw",0
❌ New MAJ Call of Duty 👩🏿‍🚀 https://t.co/AlzaW4wKl4,0
"Every time I think I can't be shocked by how bad it ha gotten in China, something comes along and it's even worse. https://t.co/vPEIq5BLtb",0
"Chinese cities on highest virus alert: Global Times https://t.co/5MlVXtLE4r #Coronavirus #WuhanCoronavirus

MORE w/ EcoSearch - news: https://t.co/CygWvzDC4b web: https://t.co/gyENvsX4rW",0
The best and the brightest. English pa more. https://t.co/tnqf8hmS5M,0
next stop - The Morgue https://t.co/rYq6MpFzCt,0
"There is a rumor about an #altcoin finishing #coronavirus vaccine

Is this bullish sir @cryptunez ?",0
Terrible loss :/ #2019coronavirus #coronavirus #2019nCoV #2019n_CoV #CoronaOutbreak #VIRUS_CORONA #virusoutbreak #ncov2019 #chinaoutbreak #ChinaPneumonia #china https://t.co/Gb7KAvoNAS,0
Coming up on News4 at 4PM: @wmata has activated its pandemic task force.  Transportation reporter @AdamTuss has new information on the steps Metro is taking as #coronavirus precautions,0
Happening NOW!! https://t.co/WxukKnFjCb,0
"This is really sad 💔
https://t.co/FRB9AxC5EU",0
This whole thing is SKETCHY SKETCHY https://t.co/eTYyAVCizi,0
Might be another Chernobyl? #coronavirus #anotherchernobyl #stopblamewuhanese #notbatmansfault #diversity #oneworld #batman #panda #chernobyl https://t.co/mjBldYbilF,0
"None of this is ok ‘As concern about the novel #coronavirus in the UK increases, racism toward Chinese communities has been reported.’
We urge for this to be reported to your local police 
https://t.co/FopRu3klPt

@MPSUniversities @MetCC #NoPlaceForHate #xenophobia https://t.co/QuBNz4LsnN",0
Race against time to contain global spread of coronavirus https://t.co/LDnHi0ACE5 #coronavirus,0
"I dont want to hear canned ""media hype"" comments. People are risking jail or worse to leak videos begging for help and showing the conditions. China has a history of covering up actual percentages as long as possible. I believe this is just one more example of this. https://t.co/tDvF2ItWyG",1
@CPHO_Canada @kpel230 @JustinTrudeau @BillBlair @PattyHajdu @FP_Champagne https://t.co/RNA7QPMmzj it is just a flu... right?,0
What shitty journalism https://t.co/LSKXCh84Ov,0
Signs and Symptoms of Heart attack that Women Might Be Ignoring | #Health | #coronavirus | #AsianNetWalking https://t.co/zwEA5QgkMt https://t.co/xlsraNwaDI,0
"@PlanetMinecraft A model of Huoshenshan Hospital can now be used by infected patients of Novel #Coronavirus in Hunan, China
#Mincraft我的世界
👉🏻Check out my tweets for more mega projects in Mincraft https://t.co/y8zcY5UkpB",0
"New emoji for #coronavirus 🦠 
Can you see it? #ios",0
@JuliaDavisNews From Reuters. #Coronavirus. https://t.co/64bSzWaTaX,0
"Heilongjiang High Court:
Corruption, embezzlement or misappropriation of funds or materials used for the prevention and control of new #coronavirus epidemics or misappropriation for personal use constitutes a crime, and the maximum penalty is the death penalty.",0
"Li Wenliang - Chinese doctor and early coronavirus whistleblower dies- True. Hospital admits it

https://t.co/7WOalDRFDP h/t Shiloh , Pathfinder

#coronavirus #2019nCoV",0
"On the latter, the Chinese Ambassador is absolutely right. Stop assuming Chinese people are animal eating monsters that are all infected. It's hideous.

On the former, the Ambassador is an idiot and needs to shut up. The world is not ready for this pandemic.

#coronavirus #wuhan https://t.co/KnMkpdL4LB",0
@JuliaDavisNews 👇 just saw this. 😳 https://t.co/9SwGEWAQpy,0
"Wuhan ""hospital"", they call it. In the end is only a quarantine zone. What's the purpose of this venue then?

#coronavirus #2019nCoV #nCoV2019 #Wuhan #quarantine https://t.co/dAjsUc00nJ",0
"Two New Rapid #Coronavirus Tests Could Play Key Role in Efforts to Contain Growing #Epidemic
https://t.co/8o769y4eh2",0
The latest The Nowlifestyle Daily! https://t.co/tmw71LDrtn Thanks to @voxieco @Coconbra #coronavirus #marketing,0
Coming up on News4 at 4PM: @wmata has activated its pandemic task force.  Transportation reporter @AdamTuss has new information on the steps Metro is taking as #coronavirus precautions @nbcwashington,0
"A refreshingly different putlook than the typucal twitter alarmist forecasting the end of mankind by Labor Day.

Who to believe... https://t.co/aDpvXqNIFl",0
"Yeah, I'm sure the #Coronavirus is contained. #Wuhan coronavirus crematoriums 'working 24/7' burning ‘100 bodies a day' https://t.co/Y7PUaKG41Z",1
Coronavirus updates: The latest news on the outbreak and the global response SEE DETAILS AT ==&gt; https://t.co/BLuKspTNNQ #virus #coronavirus #sars #flu #china #trump,0
"So the UK’s third case of  #coronavirus is being treated in my home town!  The hospital has been on BLACK Alert for years, there’s no way they could cope if it spreads.",0
So come on you clever #Twitter scaremongers. How come there are hardly any deaths outside #Hubei? #coronavirus #CoronaVirusCanada #coronavirusuk https://t.co/ulT8tRCcjW,0
Interesting... https://t.co/5H81xZeYnE,0
#Coronavirus Concerns Weigh On Chinese Students At U.S. Colleges https://t.co/684IWaKgmd,0
Tom Cotton is right though. https://t.co/MjSJSH00YZ,0
@globaltimesnews The wuhan police who reprimanded Dr. Li Wenliang for telling the truth about the outbreak of coronavirus in #wuhan should be severely punished. Had they acted immediately this should not happened this way - they spread of #coronavirus would have been contained early.. RIP my hero,0
"⁦@washingtonpost⁩ #Cruise lines ban anyone who has recently been to #China as #coronavirus fears spread #cruiseships #travel #GlobalHealth 
 https://t.co/Aup4zyuHiq",0
"#Coronavirus: Whistleblower Dr Li Wenliang confirmed dead of the disease at 34, after hrs of chaotic messaging from hospital - Li, was 1 of 8 drs who tried to share information about the #coronavirus only to be reprimanded by Wuhan police https://t.co/YvzLUIAXw3",1
Due to the timely diagnosis of #coronavirus by #Dr_li_wanLiang. Informing and preventing more human deaths and the death of this #super_hero because of the #coronavirus. I suggest to the #international_community to call this disease in his honor #dr_li_disease,0
I believe Dr. Li may officially be the youngest death in China as a result of #coronavirus #ncov2019 #Wuhan,0
13. people infecteded with #coronavirus in #Germany https://t.co/TfyyowsJtU,0
"This is really useful in understanding what is going on with the death/resurrection of Li Wenliang.
https://t.co/b4QucoYx2b",0
More unverifed vid of person being wheeled out to ambulance.  Likely dropped during normal activity like shopping. #coronavirus https://t.co/cErMDAvWdg,0
"Cities are fighting each other over face masks in #China. #Coronavirus is starting to shred the social fabric.

How lasting will the damage be?
 https://t.co/ZBbMj7qT83

#news #2019nCoV #nCoV2019",0
"Now the #coronavirus has turned up not far from a very old member of my family?! #Brighton.

#Channel4 seems to be the first in the news media to finally mention the data we are getting is questionable from #China. Mention that ..

#nCoV2019 

https://t.co/IQy8cuQIIx",0
#CoronaVirus #Satan #WWIll What a beginning to 2020... https://t.co/MXtHmUvrPs,0
More attempts by the chinese govt to block the truth https://t.co/pDQCXsXarh,1
Chilling video from inside one of the U.S.-bound flights from #Wuhan earlier this week. Take a look. #NBC7 https://t.co/OnoRGWWwzs,0
🔴 LIVE #Coronavirus Real Time Counter + #BreakingNews + World Map Tracker... https://t.co/8FndYWfA0Y via @YouTube (Super nice LIVE updates!) #Wuhan #China #2019_nCov,0
"Certainly an interesting use for drones even though it makes me think of the ""City Scanner"" drones in #HalfLife2 https://t.co/Dliu9J6AMG",0
Important topic this week on Science In Action. https://t.co/05qeV6hfNq,0
"Without you, #coronavirus could be only a medical bill https://t.co/7lqiovGVK1",0
Bullish https://t.co/gPxgcVoymp,0
U wot https://t.co/VFmcusWyjX,0
EPA Issues Emergency Guidance to Mitigate Spread of Coronavirus in the United States #coronavirus https://t.co/k7YDeDO5a7,0
"LIVE on #Periscope: #HeartGang Will Follow All Back #SpreadLuv Plz Share &amp; Follow #MittRomneyAmericanHero #coronavirus #WinterWatch #Follow🛤

https://t.co/C0cXBVjtyV",0
"Heilongjiang High Court:
Whoever makes use of the new #coronavirus epidemic to create and spread rumors, incite secession, undermine state unity, or incite subversion of state power and overthrow the socialist system shall be sentenced to a maximum sentence of 15 years.",0
"A modern day hero. 
#LiWenliang #CoronaVirus https://t.co/Xwrc64NxVE",0
@SCMPNews Now the hospital confirmed Dr. Li has died. #coronavirus,0
Global Times now admits courageous doctor is dead. https://t.co/mT1DNcE4Bm,0
"@skepticalIDdoc @HullHospitals @an_da_sam @DrPJLillie So can't take the credit on this one Gerald... The idea was from 1 of our foundation year 3 doctors, Alex Richards - we thought it very nice too so team has adopted... :) Hope things OK in Kingston... #PPE #coronavirus #WuhanVirus #coronaviruswuhan #nCoV2019",0
"""Fueling Anti Asian racism""

There's a difference between people and government. https://t.co/MjSJSH00YZ",0
"ENG : Update: New Case of #coronavirus in #Germany 🇩🇪, the number 13 of the country. The patient is the wife of one of the infected previously. The two children of marriage, 6 and 11 years old, were also diagnosed with the disease days ago",
Here is the current number of #Coronavirus outbreaks and deaths throughout the world. China is ramping up its propaganda agenda and trying to silence vital information while the current Coronavirus situation only gets worse. https://t.co/Vz4CK0ctcb,1
"Doctor who blew whistle over #coronavirus has died, hospital says https://t.co/fXcyDt8jDv",0
"If the #coronavirus is supposed to infect about 2.5billion people n kill 10’s of millions then me,my son n my little brother n family and friends might be in for a rough future.Sum of us might not make it including myself. My only fear is to have to watch our loved ones suffer",0
"Funny thing is Chinese community has been calling this Wuhan virus for the longest time and no one complainted. If we calling everything racist these days, what happen when real racism comes? https://t.co/V5Zz4Z1hwt",1
"Islamic medicine to combat diseases. 
Miracle https://t.co/bNrtASIXfa",0
"What we do know so far about corona virus outbreak?

Grant Hill-Cawthorne, Head of the Parliamentary Office of Science and Technology.

#coronavirus

https://t.co/8z9BAn9z2p",0
A whole bunch of selfish unprofessionals who are actually hypocrites. https://t.co/zg6FXcVnX9,0
#coronavirus becomes #ChinaVirus ... is this racial baiting? https://t.co/el5KiJExqi,0
"Unfortunately, these people can be found everywhere in every Country. I suffer so you must suffer. 🇦🇺 https://t.co/ViDU0J3lkh",0
"No, he died on 02.06 21:30, and someone wouldn’t let him go in peace and dignity. Shame on you! https://t.co/Z6chBs4Sei",0
Thanks @loomnetwork for turning me into a zombie before the #coronavirus does. https://t.co/xgLu62fZx8,0
One of the largest human experiments in history' was conducted on unsuspecting residents of San Francisco https://t.co/7mVdWd9c2p via @businessinsider #coronavirus,0
"In 2020, the Chinese government is not only implementing a planned economy, but is also planning the death number killed by #coronavirus https://t.co/4BhxvcME3A",1
Do NOT listen to mainstream media! Dr. Li Wenliang is ALIVE The #Chinese government are trying to push him under the rug for dissent. #CoronaVirus,1
"@CarcosaV @howroute @NCOVNEWS @balajis @DrEricDing @ScottGottliebMD @IsChinar Or this? The virus either has a genetic marker or is deadly to anyone who received the SARs vaccine? 
https://t.co/cEQKPcyN9a",0
The proper term is #ChinaState #China IS a ChinaState. It is far more Totalitarian than any police state ever imagined. https://t.co/EWRgZpwxTw,
Time for something nice I think.....don't ruin this for me!! https://t.co/YRmWEoFzze,0
@Auto_Logistics @JesusSeade IF he returns from his holidays in China. #Coronavirus,0
Four new Wisconsin patients under investigation for #coronavirus  https://t.co/oaKu84qY43,0
@MatinaLiosi Yeah true plus I am a natural hermit/ascetic so I am having the time of my life--cave life suits me well! #China #coronavirus #hermitsunited https://t.co/7VA92DLvx2,0
Will remember the real killer https://t.co/nh8yzWP5vT,0
Hundreds of millions of chickens at risk of being wiped out with much of China locked down due to #coronavirus https://t.co/iJYZMcPalU,0
"Artificial intelligence simulation predicts 2.5 Billion people infected in 45 days' if current growth rate is not mitigated.

#coronavirus #China #Wuhan #pandemic #2019nCoV #nCoVtracker

https://t.co/jYFZez23dL",0
"The growth rate WILL slow enough that this prediction will not be accurate, HOWEVER it's still easily possible to have several hundred million infected in 45 days' time, versus the 2.5 billion prediction.

#coronavirus #China #Wuhan #pandemic #2019nCoV #nCoVtracker",0
An excellent use of a non-clinical healthcare organization using their pinned tweet space as a public health information node! 👍🏼👍🏼👍🏼 #coronavirus https://t.co/vsWH4E7ZOu,0
"#coronavirus Finally you hear what the man say. (I did some translation although I am really not good at it, but I am furious. )All our people KNOW you are lying and the hero deserve more dignity. Dr. Li fought for us and he was not a tool to lie on! https://t.co/ZW3jVrwoPx",1
I wonder what these #coronavirus hospital bills are gonna look like https://t.co/Ve7v7YrE3T,0
@MBSittioneLOVE @alekhbariyatv @305local @ScheyChris @orchardcitygal That’s very nice of Saudi Arabia 🇸🇦 also my country Austria 🇦🇹 is helping China a bit. Let’s pray they will overcome this terrible #coronavirus.,0
Chinese Doctor Who Tried to Warn of Outbreak Is Dead From Coronavirus SEE DETAILS AT ==&gt; https://t.co/9orX4j6BuU #virus #coronavirus #sars #flu #china #trump https://t.co/r9E22Kb3md,0
"NYTimes: “Wuhan is told to round up infected residents for mass quarantine camps.” https://t.co/XO8t8AQHgQ

Is it where the person loaded in a box onto this truck  heading? #coronavirus https://t.co/qQVF35o31s",0
"The goals include “telling the moving stories of how [people] on the front line are preventing and fighting the virus, telling the story of how #China is combating the virus...” #coronavirus #2019nCoV #CoronavirusOutbreak #2019n_CoV  #ChinaPneumonia https://t.co/vzaEo10nTy",0
"LIVE on #Periscope: #HeartGang Will Follow All Back #SpreadLuv Plz Share &amp; Follow #MittRomneyAmericanHero #coronavirus #WinterWatch #Follow 🌇

https://t.co/C0cXBVjtyV",0
Imagine the way they treat their enemies. https://t.co/cBnKD5ajGH,0
Chinese Doctor Who Tried to Warn of Outbreak Is Dead From Coronavirus SEE DETAILS AT ==&gt; https://t.co/9orX4j6BuU #virus #coronavirus #sars #flu #deathtoll #china #trump https://t.co/6ClDxYD0py,0
3 Americans Test Positive for #Coronavirus Aboard #Quarantined Cruise Ship #corononavirus #CoronavirusOutbreak https://t.co/sOtnFj9m35,0
Salute to these Chinese doctors who have been working tirelessly in the wake of #coronavirus outbreak in Wuhan city. They’ve been cut off from their families for a national cause. ✊ #nCoV2019 https://t.co/x2ThXVsTxD,0
Chinese Doctor Who Tried to Warn of Outbreak Is Dead From Coronavirus SEE DETAILS AT ==&gt; https://t.co/9orX4j6BuU #virus #coronavirus #sars #flu #china #trump https://t.co/uMrYadenUE,0
Remember all those stories of the thousands and thousands of condoms distributed at the Olympic games?  Good luck keeping this thing from spreading there ... https://t.co/k5U8wgJ8qd,0
@CPHO_Canada Too little too late we've been lied to about the numbers .#coronavirus,0
Chinese Doctor Who Tried to Warn of Outbreak Is Dead From Coronavirus SURVIVE SEE DETAILS AT ==&gt; https://t.co/QvEZfTKWkq #virus #coronavirus #sars #flu #china #trump https://t.co/ecBXfgYhXs,0
"#China, #Wuhan:
#coronavirus hospital...
Is this a way to treat people infected with deadly virus that don't have a vaccine or cure ?
#CoronavirusOutbreak #nCoV2019 #ChinaCoronaVirus #Corona 
https://t.co/KiweP1GF7K https://t.co/WMDaR0Am8E",0
@lastoften dont forget. youre here forever right. from the simpsons? maggie and homer's work station with her pics? but trump openly says he will rule the usa until the end of time. this is wholly illegal as per constitution. he doesnt give a fig. methinks 2028 christ returnin. #coronavirus,0
